ID T IDR EventType X Y
206 23536 2 SEND1 1 1
207 23645 1 GET2 3 7
208 23710 2 GET1 5 7
209 23792 1 SEND2 4 1
210 24086 2 SEND1 1 1
211 24164 2 GET2 3 7
212 24245 2 SEND2 4 1
213 24324 2 GET2 3 7
214 24349 1 GET2 3 7
215 24369 2 SEND2 4 1
216 24394 2 GET1 4 6
217 24410 2 SEND1 1 1
218 24488 1 SEND2 3 0
219 24568 2 GET1 5 7
220 24915 1 GET3 3 7
221 25032 2 SEND1 1 1
222 25062 2 GET2 3 7
223 25289 1 SEND3 6 0
224 25311 2 SEND2 3 0
225 25395 1 GET1 5 7
226 25511 1 SEND1 1 1
227 25568 2 GET1 4 6
228 25594 2 SEND1 2 0
229 25721 1 GET1 3 7
230 25819 1 SEND1 2 0
231 25839 1 GET2 3 7
232 25976 1 SEND2 4 1
233 26185 1 GET1 3 7
234 26251 1 SEND1 1 1
235 26354 2 GET1 3 7
236 26402 2 SEND1 1 1
237 26415 1 GET2 3 7
238 26418 2 GET1 3 7
239 26474 2 SEND1 1 1
240 26514 2 GET1 3 7
241 26532 1 SEND2 4 1
242 26647 1 GET2 4 6
243 26692 1 SEND2 3 0
244 26789 1 GET1 3 7
245 26931 1 SEND1 1 1
246 27357 1 GET1 3 7
247 27399 1 SEND1 1 1
248 27532 2 SEND1 1 1
249 27576 2 GET2 3 7
250 27637 1 GET1 3 7
251 27701 2 SEND2 3 0
252 27764 2 GET3 3 7
253 27911 1 SEND1 0 0
254 28227 1 GET1 4 6
255 28375 1 SEND1 2 0
256 28512 2 SEND3 7 1
257 28736 2 GET1 3 7
258 28769 1 GET1 4 6
259 28803 1 SEND1 1 1
260 28837 1 GET1 3 7
261 28854 2 SEND1 1 1
262 28872 2 GET1 3 7
263 29249 1 SEND1 1 1
264 29308 2 SEND1 1 1
265 29449 1 GET3 3 7
266 29591 1 SEND3 6 0
267 29600 2 GET1 3 7
268 29755 1 GET2 3 7
269 29774 1 SEND2 4 1
270 29818 2 SEND1 1 1
271 29841 1 GET1 3 7
272 30044 2 GET2 4 6
273 30445 2 SEND2 3 0
274 30503 1 SEND1 1 1
275 30541 1 GET1 3 7
276 30631 1 SEND1 1 1
277 30644 2 GET1 3 7
278 30670 2 SEND1 0 0
279 30753 1 GET2 5 7
280 30888 1 SEND2 4 1
281 30935 1 GET1 3 7
282 31003 1 SEND1 1 1
283 31044 2 GET1 4 6
284 31085 1 GET2 4 6
285 31172 2 SEND1 2 0
286 31188 1 SEND2 4 1
287 31542 1 GET1 3 7
288 31622 2 GET2 5 7
289 31722 1 SEND1 1 1
290 31723 2 SEND2 4 1
291 31798 2 GET1 3 7
292 31838 1 GET1 5 7
293 32052 2 SEND1 2 0
294 32186 1 SEND1 1 1
295 32400 1 GET1 5 7
296 32666 2 GET1 5 7
297 32858 1 SEND1 2 0
298 32876 1 GET1 3 7
299 32876 2 SEND1 2 0
300 32916 1 SEND1 1 1
301 32958 1 GET1 3 7
302 33184 1 SEND1 1 1
303 33244 1 GET1 3 7
304 33356 1 SEND1 0 0
305 33370 1 GET1 4 6
306 33668 1 SEND1 1 1
307 33742 1 GET1 3 7
308 33804 1 SEND1 1 1
309 33868 1 GET1 4 6
310 33948 1 SEND1 0 0
311 34009 2 GET2 3 7
312 34032 1 GET3 5 7
313 34204 2 SEND2 4 1
314 34287 2 GET1 3 7
315 34303 2 SEND1 1 1
316 34333 2 GET1 3 7
